set,number,name,subtitle,count,type,aspects,traits,arenas,cost,power,hp,fronttext,backtext,epicaction,doublesided,backart,frontart,rarity,marketprice,karabast_number
sor,379,Agent Kallus,Seeking the Rebels,1,Unit,['Command'],"['IMPERIAL', 'TROOPER']",['Ground'],5,4,4,"AMBUSH (After you play this unit, he may ready and attack an enemy unit.)|When another unique unit is defeated: You may draw a card. Use this ability only once each round.",,,False,,https://cdn.swu-db.com/images/cards/SOR/379.png,Rare,2.36,115
sor,418,Aggression,,1,Event,"['Aggression', 'Aggression']",['INNATE'],,4,,,"Choose two, in any order:|Draw a card.|Defeat up to 2 upgrades.|Ready a unit with 3 or less power.|Deal 4 damage to a unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/418.png,Legendary,20.65,155
sor,357,Alliance Dispatcher,,1,Unit,"['Command', 'Heroism']",['REBEL'],['Ground'],1,1,2,Action [{exhaust}]: Play a unit from your hand. It costs 1 less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/357.png,Common,0.24,093
sor,496,Alliance X-Wing,,1,Unit,['Heroism'],"['REBEL', 'VEHICLE', 'FIGHTER']",['Space'],2,2,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/496.png,Common,0.48,237
sor,424,Ardent Sympathizer,,1,Unit,['Aggression'],['TROOPER'],['Ground'],3,3,3,"While you have the initiative, this unit gets +2/+0.",,,False,,https://cdn.swu-db.com/images/cards/SOR/424.png,Common,0.15,161
sor,480,Asteroid Sanctuary,,1,Event,['Cunning'],['TRICK'],,2,,,Exhaust an enemy unit.|Give a Shield token to a friendly unit that costs 3 or less.,,,False,,https://cdn.swu-db.com/images/cards/SOR/480.png,Common,0.37,218
sor,370,Attack Pattern Delta,,1,Event,"['Command', 'Command']",['TACTIC'],,3,,,Give a friendly unit +3/+3 for this phase.|Give another friendly unit +2/+2 for this phase.|Give a third friendly unit +1/+1 for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/370.png,Uncommon,0.48,106
sor,457,Auzituck Liberator Gunship,,1,Unit,"['Cunning', 'Heroism']","['VEHICLE', 'FIGHTER']",['Space'],4,3,4,"Ambush (After you play this unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/457.png,Common,0.30,195
sor,306,Avenger,Hunting Star Destroyer,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],9,8,8,When Played/On Attack: An opponent chooses a non-leader unit they control. Defeat that unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/306.png,Legendary,28.37,040
sor,358,Bail Organa,Rebel Councilor,1,Unit,"['Command', 'Heroism']","['REBEL', 'OFFICIAL']",['Ground'],1,1,2,Action [{exhaust}]: Give an Experience token to another friendly unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/358.png,Rare,2.47,094
sor,461,Bamboozle,,1,Event,"['Cunning', 'Heroism']",['TRICK'],,2,,,You may discard a Cunning card from your hand instead of paying this event's cost. Exhaust a unit and return each upgrade on it to its owner's hand.,,,False,,https://cdn.swu-db.com/images/cards/SOR/461.png,Uncommon,0.86,199
sor,359,Battlefield Marine,,1,Unit,"['Command', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],2,3,3,,,,False,,https://cdn.swu-db.com/images/cards/SOR/359.png,Common,0.56,095
sor,330,Baze Malbus,Temple Guardian,1,Unit,['Vigilance'],['FRINGE'],['Ground'],4,2,5,"GRIT (This unit gets +1/+0 for each damage on him.)|While you have the initiative, this unit gains SENTINEL. (Units in this arena can't attack your non-Sentinel units or your base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/330.png,Uncommon,0.73,065
sor,321,Bendu,The One in the Middle,1,Unit,"['Vigilance', 'Vigilance']","['FORCE', 'CREATURE']",['Ground'],6,4,7,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.) |On Attack: The next non-Heroism, non-Villainy card you play this phase costs 2 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/321.png,Rare,1.80,056
sor,419,"Benthic ""Two Tubes""",Partisan Lieutenant,1,Unit,['Aggression'],"['REBEL', 'TROOPER']",['Ground'],1,2,2,On Attack: Another friendly Aggression unit gains RAID 2 for this phase. (it gets +2/+0 while attacking.),,,False,,https://cdn.swu-db.com/images/cards/SOR/419.png,Uncommon,2.05,156
sor,440,Bib Fortuna,Jabba's Majordomo,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'TWILEK']",['Ground'],2,1,3,"SHIELDED (When you play this unit, give him a Shield token.)|Action [{exhaust}]: Play an event from your hand. It costs 1 less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/440.png,Uncommon,0.95,177
sor,410,Black One,Scourge of Starkiller Base,1,Unit,"['Aggression', 'Heroism']","['RESISTANCE', 'VEHICLE', 'FIGHTER']",['Space'],6,4,4,"When Played/When Defeated: You may discard your hand. If you do, draw 3 cards.",,,False,,https://cdn.swu-db.com/images/cards/SOR/410.png,Legendary,3.93,147
sor,352,Blizzard Assault AT-AT,,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'VEHICLE', 'WALKER']",['Ground'],8,9,9,When this unit attacks and defeats a unit: You may deal the excess damage from this attack to an enemy ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/352.png,Uncommon,0.52,088
sor,281,Boba Fett,Collecting the Bounty,1,Leader,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],5,4,7,"When an enemy unit leaves play: You may exhaust this leader. If you do, ready a resource.","When this unit completes an attack: If an enemy unit left play this phase, ready up to 2 resources.","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/281-b.png,https://cdn.swu-db.com/images/cards/SOR/281.png,Common,0.28,015
sor,442,Boba Fett,Disintegrator,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],3,3,5,"On Attack: If this unit is attacking an exhausted unit that didn't enter play this round, deal 3 damage to the defender.",,,False,,https://cdn.swu-db.com/images/cards/SOR/442.png,Legendary,48.99,179
sor,463,Bodhi Rook,Imperial Defector,1,Unit,"['Cunning', 'Cunning']","['IMPERIAL', 'REBEL']",['Ground'],3,3,3,When Played: Look at an opponent's hand and discard a non-unit card from it.,,,False,,https://cdn.swu-db.com/images/cards/SOR/463.png,Rare,14.40,201
sor,436,Bombing Run,,1,Event,['Aggression'],['TACTIC'],,5,,,Choose an arena (ground or space). Deal 3 damage to each unit in that arena.,,,False,,https://cdn.swu-db.com/images/cards/SOR/436.png,Rare,6.05,173
sor,445,Bossk,Deadly Stalker,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],5,4,5,"AMBUSH (After you play this unit, he may ready and attack an enemy unit.)|When you play an event: You may deal 2 damage to a unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/445.png,Uncommon,1.66,182
sor,446,Bounty Hunter Crew,,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'BOUNTY HUNTER']",['Ground'],6,4,4,"AMBUSH (After you play this unit, it may ready and attack an enemy unit.)|When Played: You may return an event from a discard pile to its owner's hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/446.png,Common,0.29,183
sor,363,Bright Hope,The Last Transport,1,Unit,"['Command', 'Heroism']","['REBEL', 'VEHICLE', 'TRANSPORT']",['Space'],4,2,6,"SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.)|When Played: You may return a friendly non-leader ground unit to its owner's hand. if you do, draw a card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/363.png,Uncommon,2.63,099
sor,464,Cantina Bouncer,,1,Unit,"['Cunning', 'Cunning']",['FRINGE'],['Ground'],5,3,5,When Played: You may return a non-leader unit to its owner's hand.,,,False,,https://cdn.swu-db.com/images/cards/SOR/464.png,Uncommon,2.98,202
sor,420,Cantina Braggart,,1,Unit,['Aggression'],['UNDERWORLD'],['Ground'],1,0,3,RAID 2 (This unit gets +2/+0 while attacking.),,,False,,https://cdn.swu-db.com/images/cards/SOR/420.png,Common,0.18,157
sor,286,Capital City,Lothal,1,Base,['Vigilance'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/286.png,Common,0.32,020
sor,333,Cargo Juggernaut,,1,Unit,['Vigilance'],"['VEHICLE', 'TANK']",['Ground'],6,4,6,"SHIELDED (When you play this unit, give a Shield token to it.)|When Played: If you control another Vigilance unit, heal 4 damage from your base.",,,False,,https://cdn.swu-db.com/images/cards/SOR/333.png,Common,0.23,066
sor,441,Cartel Spacer,,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'VEHICLE', 'FIGHTER']",['Space'],2,2,3,"When Played: If you control another Cunning unit, exhaust an enemy unit that costs 4 or less.",,,False,,https://cdn.swu-db.com/images/cards/SOR/441.png,Uncommon,2.92,178
sor,279,Cassian Andor,Dedicated to the Rebellion,1,Leader,"['Aggression', 'Heroism']",['REBEL'],['Ground'],6,4,6,"Action [1, {Exhaust}]: If you've dealt 3 or more damage to an enemy base this phase, draw a card.","SABOTEUR (When this unit attacks, ignore Sentinel and defeat the defender's Shields.)|When you deal damage to an enemy base: You may draw a card. Use this ability only once each round.","Epic Action: If you control 6 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/279-b.png,https://cdn.swu-db.com/images/cards/SOR/279.png,Rare,1.04,013
sor,292,Catacombs of Cadera,Jedha,1,Base,['Aggression'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/292.png,Common,0.60,026
sor,490,Cell Block Guard,,1,Unit,['Villainy'],"['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/490.png,Common,0.75,238
sor,486,Change of Heart,,1,Event,['Cunning'],['GAMBIT'],,6,,,"Take control of a non-leader unit. At the start of the regroup phase, its owner takes control of it.",,,False,,https://cdn.swu-db.com/images/cards/SOR/486.png,Legendary,7.50,224
sor,271,Chewbacca,Walking Carpet,1,Leader,"['Vigilance', 'Heroism']","['UNDERWORLD', 'WOOKIEE']",['Ground'],7,2,9,Action [{Exhaust}]: Play a unit that costs 3 or less from your hand (paying its cost). It gains Sentinel for this phase.,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.)|GRIT (This unit gets +1/+0 for each damage on it.),"Epic Action: If you control 7 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/271-b.png,https://cdn.swu-db.com/images/cards/SOR/271.png,Common,0.16,003
sor,458,Chewbacca,Loyal Companion,1,Unit,"['Cunning', 'Heroism']","['UNDERWORLD', 'WOOKIEE']",['Ground'],5,3,6,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.)|When this unit is attacked: Ready him.,,,False,,https://cdn.swu-db.com/images/cards/SOR/458.png,Uncommon,1.20,196
sor,448,Chimaera,Flagship of the Seventh Fleet,1,Unit,"['Cunning', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],8,8,7,"SHIELDED (When you play this unit, give a Shield token to it.) |On Attack: Name a card. An opponent reveals their hand and discards a card with that name from it.",,,False,,https://cdn.swu-db.com/images/cards/SOR/448.png,Rare,3.32,185
sor,272,Chirrut Îmwe,One With the Force,1,Leader,"['Vigilance', 'Heroism']","['FORCE', 'REBEL']",['Ground'],5,3,5,Action [{{Exhaust}}]: Give a unit +0/+2 for this phase.,"During the action phase, this unit isn't defeated by having no remaining HP. (During the regroup phase, if he has no remaining HP, defeat him.)","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/272-b.png,https://cdn.swu-db.com/images/cards/SOR/272.png,Rare,0.65,004
sor,451,Chopper,Metal Menace,1,Unit,"['Cunning', 'Heroism']","['REBEL', 'DROID', 'SPECTRE']",['Ground'],1,1,3,"While you control another SPECTRE unit, this unit gains RAID 1. |On Attack: Discard a card from the defending player's deck. If it's an event, exhaust a resource that player controls.",,,False,,https://cdn.swu-db.com/images/cards/SOR/451.png,Rare,3.70,188
sor,296,Chopper Base,Atollon,1,Base,['Cunning'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/296.png,Common,0.33,030
sor,328,Cloud City Wing Guard,,1,Unit,['Vigilance'],"['FRINGE', 'TROOPER']",['Ground'],3,2,4,Sentinel (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/328.png,Common,0.20,063
sor,373,Colonel Yularen,ISB Director,1,Unit,['Command'],"['IMPERIAL', 'OFFICIAL']",['Ground'],2,2,3,When you play a Command unit (including this one): Heal 1 damage from your base.,,,False,,https://cdn.swu-db.com/images/cards/SOR/373.png,Uncommon,1.79,109
sor,371,Command,,1,Event,"['Command', 'Command']",['INNATE'],,4,,,"Choose two, in any order:|Give 2 Experience tokens to a unit. |A friendly unit deals damage equal to its power to a non-unique enemy unit. |Put this event into play as a resource.|Return a unit from your discard pile to your hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/371.png,Legendary,18.24,107
sor,289,Command Center,Death Star,1,Base,['Command'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/289.png,Common,0.33,023
sor,509,Confiscate,,1,Event,,['LAW'],,1,,,Defeat an upgrade.,,,False,,https://cdn.swu-db.com/images/cards/SOR/509.png,Common,0.40,262
sor,376,Consortium StarViper,,1,Unit,['Command'],"['FRINGE', 'VEHICLE', 'FIGHTER']",['Space'],3,3,3,"While you have the initiative, this unit gains RESTORE 2. (When this unit attacks, heal 2 damage from your base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/376.png,Common,0.84,112
sor,312,Consular Security Force,,1,Unit,"['Vigilance', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],4,3,7,,,,False,,https://cdn.swu-db.com/images/cards/SOR/312.png,Common,0.19,046
sor,508,Corellian Freighter,,1,Unit,,"['VEHICLE', 'TRANSPORT']",['Space'],5,4,4,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/508.png,Common,0.27,250
sor,304,Count Dooku,Darth Tyrannus,1,Unit,"['Vigilance', 'Villainy']","['FORCE', 'SEPARATIST', 'SITH']",['Ground'],7,5,4,"SHIELDED (When you play this unit, give him a Shield token.) |When Played: You may defeat a unit with 4 or less remaining HP.",,,False,,https://cdn.swu-db.com/images/cards/SOR/304.png,Rare,4.76,038
sor,469,Crafty Smuggler,,1,Unit,['Cunning'],['UNDERWORLD'],['Ground'],2,2,2,"SHIELDED (When you play this unit, give a Shield token to it.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/469.png,Common,0.91,207
sor,465,Cunning,,1,Event,"['Cunning', 'Cunning']",['INNATE'],,4,,,"Choose two, in any order:|Return a non-leader unit with 4 or less power to its owner's hand.|Give a unit +4/+0 for this phase.|Exhaust up to 2 units.|An opponent discards a random card from their hand.",,,False,,https://cdn.swu-db.com/images/cards/SOR/465.png,Legendary,31.51,203
sor,287,Dagobah Swamp,Dagobah,1,Base,['Vigilance'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/287.png,Common,0.35,021
sor,351,Darth Vader,Commanding the First Legion,1,Unit,"['Command', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH']",['Ground'],7,5,7,AMBUSH|When Played: Search the top 10 cards of your deck for any number of Villainy units with combined cost 3 or less and play each of them for free.,,,False,,https://cdn.swu-db.com/images/cards/SOR/351.png,Legendary,75.88,087
sor,392,Death Star Stormtrooper,,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],1,3,1,,,,False,,https://cdn.swu-db.com/images/cards/SOR/392.png,Common,0.31,128
sor,299,Death Trooper,,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,When Played: Deal 2 damage to a friendly ground unit and 2 damage to an enemy ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/299.png,Common,0.51,030
sor,300,Del Meeko,Providing Overwatch,1,Unit,"['Vigilance', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],3,3,3,"Restore 1 (When this unit attacks, heal 1 damage from your base.) |Each event an opponent plays costs 1 more.",,,False,,https://cdn.swu-db.com/images/cards/SOR/300.png,Rare,2.94,034
sor,354,Devastator,Inescapable,1,Unit,"['Command', 'Villainy']","['IMPERIAL', 'VEHICLE', 'CAPITAL SHIP']",['Space'],10,10,10,SENTINEL|OVERWHELM|When Played: You may deal damage to a unit equal to the number of resources you control.,,,False,,https://cdn.swu-db.com/images/cards/SOR/354.png,Legendary,17.20,090
sor,335,Devotion,,1,Upgrade,['Vigilance'],['INNATE'],,2,1,1,"Attached unit gains RESTORE 2. (When this unit attacks, heal 2 damage from its controller's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/335.png,Uncommon,2.19,070
sor,269,Director Krennic,Aspiring to Authority,1,Leader,"['Vigilance', 'Villainy']","['IMPERIAL', 'OFFICIAL']",['Ground'],5,2,7,Each friendly damaged unit gets +1/+0.,"Restore 2 (When this unit attacks, heal 2 damage from your base.) Each friendly damaged unit gets +1/+0.","Epic Action: If you control 5 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/269-b.png,https://cdn.swu-db.com/images/cards/SOR/269.png,Common,0.19,001
sor,425,Disabling Fang Fighter,,1,Unit,['Aggression'],"['MANDALORIAN', 'VEHICLE', 'FIGHTER']",['Space'],3,3,2,When Played: You may defeat an upgrade.,,,False,,https://cdn.swu-db.com/images/cards/SOR/425.png,Common,0.55,166
sor,478,Disarm,,1,Event,['Cunning'],['TACTIC'],,1,,,Give an enemy unit -4/-0 for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/478.png,Common,0.19,216
sor,325,Distant Patroller,,1,Unit,['Vigilance'],"['FRINGE', 'VEHICLE', 'FIGHTER']",['Space'],2,2,1,When Defeated: You may give a Shield token to a Vigilance unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/325.png,Uncommon,0.65,060
sor,485,Don't Get Cocky,,1,Event,['Cunning'],['GAMBIT'],,4,,,"Choose a unit. One at a time, reveal cards from your deck until you choose to stop or have revealed 7 cards. If the combined cost of the revealed cards is 7 or less, deal that much damage to the chosen unit. Put the revealed cards on the bottom of your deck in a random order.",,,False,,https://cdn.swu-db.com/images/cards/SOR/485.png,Rare,1.78,223
sor,290,Echo Base,Hoth,1,Base,['Command'],,,,,30,,,,False,,https://cdn.swu-db.com/images/cards/SOR/290.png,Common,0.54,024
sor,362,Echo Base Defender,,1,Unit,"['Command', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],3,4,3,SENTINEL (Units in this arena can't attack your non-Sentinel units or your base.),,,False,,https://cdn.swu-db.com/images/cards/SOR/362.png,Common,0.81,098
sor,336,Electrostaff,,1,Upgrade,['Vigilance'],"['ITEM', 'WEAPON']",,2,2,2,"Attach to a non-VEHICLE unit.|While attached unit is defending, the attacker gets -1/-0.",,,False,,https://cdn.swu-db.com/images/cards/SOR/336.png,Rare,2.25,071
sor,273,Emperor Palpatine,Galactic Ruler,1,Leader,"['Command', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH', 'OFFICIAL']",['Ground'],8,4,10,"Action [{C=1}, {Exhaust}, defeat a friendly unit]: Deal 1 damage to a unit and draw a card.","When Deployed: Take control of a damaged non-leader unit.|On Attack: You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.","Epic Action: If you control 8 or more resources, deploy this leader.",True,https://cdn.swu-db.com/images/cards/SOR/273-b.png,https://cdn.swu-db.com/images/cards/SOR/273.png,Rare,1.40,006
sor,399,Emperor Palpatine,Master of the Dark Side,1,Unit,"['Aggression', 'Villainy']","['FORCE', 'IMPERIAL', 'SITH', 'OFFICIAL']",['Ground'],8,6,6,"Overwhelm (When attacking an enemy unit, deal excess damage to the opponent's base.) |When Played: Deal 6 damage divided as you choose among enemy units.",,,False,,https://cdn.swu-db.com/images/cards/SOR/399.png,Rare,7.54,135
sor,347,Emperor's Royal Guard,,1,Unit,"['Command', 'Villainy']",['IMPERIAL'],['Ground'],3,3,4,"While you control an OFFICIAL unit, this unit gains Sentinel.|While you control Emperor Palpatine (as a leader or unit), this unit gets +0/+1.",,,False,,https://cdn.swu-db.com/images/cards/SOR/347.png,Rare,7.28,082
sor,288,Energy Conversion Lab,Eadu,1,Base,['Command'],,,,,25,Epic Action: Play a unit that costs 6 or less from your hand. Give it AMBUSH for this phase.,,,False,,https://cdn.swu-db.com/images/cards/SOR/288.png,Rare,15.13,022
sor,337,Entrenched,,1,Upgrade,['Vigilance'],['CONDITION'],,2,3,3,Attached unit can't attack bases.,,,False,,https://cdn.swu-db.com/images/cards/SOR/337.png,Uncommon,1.68,072
sor,378,Escort Skiff,,1,Unit,['Command'],"['UNDERWORLD', 'VEHICLE', 'SPEEDER']",['Ground'],4,4,4,"While you control another Command unit, this unit gains AMBUSH (After you play this unit, it may ready and attack an enemy unit.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/378.png,Common,0.20,114
sor,454,Ezra Bridger,Resourceful Troublemaker,1,Unit,"['Cunning', 'Heroism']","['FORCE', 'REBEL', 'SPECTRE']",['Ground'],3,3,4,"When this unit completes an attack: Look at the top card of your deck. You may play it, discard it, or leave it on top of your deck.",,,False,,https://cdn.swu-db.com/images/cards/SOR/454.png,Uncommon,3.71,192
sor,400,Fallen Lightsaber,,1,Upgrade,"['Aggression', 'Villainy']","['ITEM', 'WEAPON', 'LIGHTSABER']",,3,3,3,"Attach to a non-VEHICLE unit. |If attached unit is a FORCE unit, it gains: ""On Attack: Deal 1 damage to each ground unit the defending player controls.""",,,False,,https://cdn.swu-db.com/images/cards/SOR/400.png,Rare,11.26,137
sor,447,Fett's Firespray,Pursuing the Bounty,1,Unit,"['Cunning', 'Villainy']","['UNDERWORLD', 'VEHICLE', 'TRANSPORT']",['Space'],6,5,6,"When Played: If you control Boba Fett or Jango Fett (as a leader or unit), ready this unit.|Action [{c=2}]: Exhaust a non-unique unit.",,,False,,https://cdn.swu-db.com/images/cards/SOR/447.png,Rare,16.75,184
sor,395,Fifth Brother,Fear Hunter,1,Unit,"['Aggression', 'Villainy']","['FORCE', 'IMPERIAL', 'INQUISITOR']",['Ground'],3,2,4,This unit gains RAID 1 for each damage on him. (He gets +1/+0 while attacking for each damage on him.)|On Attack: You may deal 1 damage to this unit and 1 damage to another ground unit.,,,False,,https://cdn.swu-db.com/images/cards/SOR/395.png,Uncommon,2.80,131
sor,406,Fighters For Freedom,,1,Unit,"['Aggression', 'Heroism']","['REBEL', 'TROOPER']",['Ground'],3,3,4,"Saboteur (When this unit attacks, ignore Sentinel and defeat the defender's Shields.) |When you play another aggression card: You may deal 1 damage to a base.",,,False,,https://cdn.swu-db.com/images/cards/SOR/406.png,Uncommon,2.03,143
sor,394,First Legion Snowtrooper,,1,Unit,"['Aggression', 'Villainy']","['IMPERIAL', 'TROOPER']",['Ground'],2,2,3,"While attacking a damaged unit, this unit gets +2/+0 and gains Overwhelm. (Deal excess damage to the opponent's base.)",,,False,,https://cdn.swu-db.com/images/cards/SOR/394.png,Common,0.21,130
sor,498,Fleet Lieutenant,,1,Unit,['Heroism'],"['REBEL', 'TROOPER']",['Ground'],3,3,3,"When Played: You may attack with a unit. If it's a REBEL unit, it gets +2/+0 for this attack.",,,False,,https://cdn.swu-db.com/images/cards/SOR/498.png,Common,0.89,240
sor,415,For a Cause I Believe In,,1,Event,"['Aggression', 'Heroism']",['INNATE'],,3,,,"Reveal the top 4 cards of your deck. For each Heroism card revealed this way, deal 1 damage to an enemy base. You may discard any of the revealed cards and put the rest back on top of your deck in any order.",,,False,,https://cdn.swu-db.com/images/cards/SOR/415.png,Rare,7.04,152
sor,402,Force Choke,,1,Event,"['Aggression', 'Villainy']",['FORCE'],,2,,,"If you control a FORCE unit, this event costs {C=1} less to play.|Deal 5 damage to a non-VEHICLE unit. That unit's controller draws a card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/402.png,Uncommon,3.52,139
sor,401,Force Lightning,,1,Event,"['Aggression', 'Villainy']",['FORCE'],,1,,,"Choose a unit. It loses all abilities for this phase. Then, if you control a FORCE unit, pay any number of resources and deal 2 damage to the chosen unit for each resource paid this way.",,,False,,https://cdn.swu-db.com/images/cards/SOR/401.png,Legendary,9.37,138
sor,430,Force Throw,,1,Event,['Aggression'],['FORCE'],,1,,,"Choose a player. That player discards a card from their hand. Then, if you control a FORCE unit, you may deal damage to a unit equal to the cost of the discarded card.",,,False,,https://cdn.swu-db.com/images/cards/SOR/430.png,Uncommon,6.24,167
